clave,clave_alterna,precio,max_usable,interior ,exterior,proveedor,material ,tipo
TFBR40-20-40-150,TFBR40-20-40-151,521.64,150,20,40,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-65-150,TFBR40-20-65-151,1575.5,150,20,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-35-150,TFBR40-20-35-151,375.48,150,20,35,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-30-150,TFBR40-20-30-151,240.41,150,20,30,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-32-100,TFBR40-20-32-101,198.07,150,20,32,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-45-150,TFBR40-20-45-151,699.05,150,20,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-53-150,TFBR40-20-53-151,1012.54,150,20,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-58-150,TFBR40-20-58-151,1231.27,150,20,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-60-150,TFBR40-20-60-151,1325.02,150,20,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-70-150,TFBR40-20-70-151,1847.16,150,20,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-74-150,TFBR40-20-74-151,2076.48,150,20,74,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-75-150,TFBR40-20-75-151,2128.39,150,20,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-20-43-150,TFBR40-20-43-151,625.97,150,20,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-32-100,TFBR40-22-32-101,177.41,150,22,32,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-35-100,TFBR40-22-35-101,229.32,150,22,35,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-38-150,TFBR40-22-38-151,427.9,150,22,38,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-40-150,TFBR40-22-40-151,489.89,150,22,40,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-43-150,TFBR40-22-43-151,594.72,150,22,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-45-150,TFBR40-22-45-151,667.8,150,22,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-48-150,TFBR40-22-48-151,772.13,150,22,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-50-150,TFBR40-22-50-151,855.29,150,22,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-53-150,TFBR40-22-53-151,980.78,150,22,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-55-150,TFBR40-22-55-151,1064.45,150,22,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-58-150,TFBR40-22-58-151,1200.02,150,22,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-60-150,TFBR40-22-60-151,1293.77,150,22,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-22-74-150,TFBR40-22-74-151,2045.23,150,22,74,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-24-35-100,TFBR40-24-35-101,208.66,150,24,35,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-43-150,TFBR40-25-43-151,542.81,150,25,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-50-150,TFBR40-25-50-151,803.38,150,25,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-45-150,TFBR40-25-45-151,605.3,150,25,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-48-150,TFBR40-25-48-151,720.22,150,25,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-40-150,TFBR40-25-40-151,438.48,150,25,40,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-55-150,TFBR40-25-55-151,1012.54,150,25,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-35-100,TFBR40-25-35-101,198.07,150,25,35,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-38-100,TFBR40-25-38-101,250.49,150,25,38,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-53-150,TFBR40-25-53-151,928.37,150,25,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-58-150,TFBR40-25-58-151,1147.61,150,25,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-60-150,TFBR40-25-60-151,1241.86,150,25,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-65-150,TFBR40-25-65-151,1492.34,150,25,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-70-150,TFBR40-25-70-151,1752.91,150,25,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-75-150,TFBR40-25-75-151,2045.23,150,25,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-25-85-150,TFBR40-25-85-151,2681.28,150,25,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-26-38-100,TFBR40-26-38-101,240.41,150,26,38,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-26-45-150,TFBR40-26-45-151,594.72,150,26,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-43-150,TFBR40-27-43-151,500.98,150,27,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-45-150,TFBR40-27-45-151,574.06,150,27,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-38-100,TFBR40-27-38-101,229.32,150,27,38,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-40-100,TFBR40-27-40-101,271.15,150,27,40,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-48-150,TFBR40-27-48-151,678.38,150,27,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-50-150,TFBR40-27-50-151,762.05,150,27,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-53-150,TFBR40-27-53-151,886.54,150,27,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-55-150,TFBR40-27-55-151,970.7,150,27,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-58-150,TFBR40-27-58-151,1105.78,150,27,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-63-150,TFBR40-27-63-151,1346.18,150,27,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-65-150,TFBR40-27-65-151,1450.51,150,27,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-27-60-150,TFBR40-27-60-151,1200.02,150,27,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-28-43-100,TFBR40-28-43-101,323.57,150,28,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-28-53-150,TFBR40-28-53-151,866.38,150,28,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-48-150,TFBR40-30-48-151,615.89,150,30,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-50-150,TFBR40-30-50-151,699.05,150,30,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-45-150,TFBR40-30-45-151,500.98,150,30,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-72-150,TFBR40-30-72-151,1763.5,150,30,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-55-150,TFBR40-30-55-151,907.7,150,30,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-110-150,TFBR40-30-110-151,4507.27,150,30,110,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-80-150,TFBR40-30-80-151,2253.89,150,30,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-60-150,TFBR40-30-60-151,1137.53,150,30,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-100-150,TFBR40-30-100-151,3683.74,150,30,100,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-105-150,TFBR40-30-105-151,4090.46,150,30,105,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-40-150,TFBR40-30-40-151,333.65,150,30,40,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-43-100,TFBR40-30-43-101,292.32,150,30,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-53-150,TFBR40-30-53-151,824.54,150,30,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-58-150,TFBR40-30-58-151,1043.78,150,30,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-63-150,TFBR40-30-63-151,1283.18,150,30,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-70-150,TFBR40-30-70-151,1658.66,150,30,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-75-150,TFBR40-30-75-151,1940.9,150,30,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-78-150,TFBR40-30-78-151,2128.39,150,30,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-90-150,TFBR40-30-90-151,2921.69,150,30,90,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-95-150,TFBR40-30-95-151,3297.17,150,30,95,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-85-150,TFBR40-30-85-151,2577.46,150,30,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-30-65-150,TFBR40-30-65-151,1388.02,150,30,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-72-150,TFBR40-32-72-151,1721.66,150,32,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-48-150,TFBR40-32-48-151,574.06,150,32,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-43-100,TFBR40-32-43-101,260.57,150,32,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-45-100,TFBR40-32-45-101,313.49,150,32,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-50-150,TFBR40-32-50-151,647.14,150,32,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-53-150,TFBR40-32-53-151,772.13,150,32,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-55-150,TFBR40-32-55-151,855.29,150,32,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-58-150,TFBR40-32-58-151,991.37,150,32,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-60-150,TFBR40-32-60-151,1085.62,150,32,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-63-150,TFBR40-32-63-151,1231.27,150,32,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-65-150,TFBR40-32-65-151,1336.1,150,32,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-70-150,TFBR40-32-70-151,1606.75,150,32,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-75-150,TFBR40-32-75-151,1899.07,150,32,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-78-150,TFBR40-32-78-151,2076.48,150,32,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-80-150,TFBR40-32-80-151,2201.47,150,32,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-32-85-150,TFBR40-32-85-151,2535.12,150,32,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-33-43-100,TFBR40-33-43-101,250.49,150,33,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-43-100,TFBR40-34-43-101,229.32,150,34,43,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-45-100,TFBR40-34-45-101,271.15,150,34,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-48-100,TFBR40-34-48-101,354.82,150,34,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-50-150,TFBR40-34-50-151,594.72,150,34,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-53-150,TFBR40-34-53-151,720.22,150,34,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-55-150,TFBR40-34-55-151,813.46,150,34,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-58-150,TFBR40-34-58-151,939.46,150,34,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-60-150,TFBR40-34-60-151,1043.78,150,34,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-63-150,TFBR40-34-63-151,1189.94,150,34,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-65-150,TFBR40-34-65-151,1283.18,150,34,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-70-150,TFBR40-34-70-151,1555.34,150,34,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-72-150,TFBR40-34-72-151,1669.75,150,34,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-75-150,TFBR40-34-75-151,1847.16,150,34,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-78-150,TFBR40-34-78-151,2024.06,150,34,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-34-80-150,TFBR40-34-80-151,2149.56,150,34,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-55-150,TFBR40-35-55-151,782.21,150,35,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-50-150,TFBR40-35-50-151,574.06,150,35,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-95-150,TFBR40-35-95-151,3172.18,150,35,95,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-60-150,TFBR40-35-60-151,1012.54,150,35,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-85-150,TFBR40-35-85-151,2451.96,150,35,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-110-150,TFBR40-35-110-151,4392.86,150,35,110,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-45-150,TFBR40-35-45-151,386.57,150,35,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-53-150,TFBR40-35-53-151,699.05,150,35,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-65-150,TFBR40-35-65-151,1263.02,150,35,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-70-150,TFBR40-35-70-151,1533.67,150,35,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-75-150,TFBR40-35-75-151,1815.91,150,35,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-80-150,TFBR40-35-80-151,2128.39,150,35,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-35-90-150,TFBR40-35-90-151,2807.28,150,35,90,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-45-100,TFBR40-36-45-101,240.41,150,36,45,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-48-100,TFBR40-36-48-101,313.49,150,36,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-50-100,TFBR40-36-50-101,365.4,150,36,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-53-150,TFBR40-36-53-151,667.8,150,36,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-55-150,TFBR40-36-55-151,751.46,150,36,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-58-150,TFBR40-36-58-151,886.54,150,36,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-60-150,TFBR40-36-60-151,980.78,150,36,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-63-150,TFBR40-36-63-151,1137.53,150,36,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-65-150,TFBR40-36-65-151,1231.27,150,36,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-70-150,TFBR40-36-70-151,1502.42,150,36,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-72-150,TFBR40-36-72-151,1617.34,150,36,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-36-75-150,TFBR40-36-75-151,1794.74,150,36,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-48-100,TFBR40-38-48-101,281.74,150,38,48,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-50-100,TFBR40-38-50-101,333.65,150,38,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-53-100,TFBR40-38-53-101,417.31,150,38,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-55-150,TFBR40-38-55-151,699.05,150,38,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-58-150,TFBR40-38-58-151,835.13,150,38,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-60-150,TFBR40-38-60-151,928.37,150,38,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-63-150,TFBR40-38-63-151,1074.53,150,38,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-65-150,TFBR40-38-65-151,1178.86,150,38,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-70-150,TFBR40-38-70-151,1450.51,150,38,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-72-150,TFBR40-38-72-151,1555.34,150,38,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-75-150,TFBR40-38-75-151,1731.74,150,38,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-38-78-150,TFBR40-38-78-151,1920.24,150,38,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-65-150,TFBR40-40-65-151,1116.86,150,40,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-55-150,TFBR40-40-55-151,636.05,150,40,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-60-150,TFBR40-40-60-151,866.38,150,40,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-72-150,TFBR40-40-72-151,1502.42,150,40,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-85-150,TFBR40-40-85-151,2316.38,150,40,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-100-150,TFBR40-40-100-151,3412.08,150,40,100,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-105-150,TFBR40-40-105-151,3819.31,150,40,105,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-110-150,TFBR40-40-110-151,4246.7,150,40,110,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-120-150,TFBR40-40-120-151,5154.91,150,40,120,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-125-150,TFBR40-40-125-151,5645.3,150,40,125,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-130-150,TFBR40-40-130-151,6145.78,150,40,130,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-135-150,TFBR40-40-135-151,6667.92,150,40,135,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-140-150,TFBR40-40-140-151,7210.22,150,40,140,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-150-150,TFBR40-40-150-151,8358.34,150,40,150,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-160-150,TFBR40-40-160-151,9579.02,150,40,160,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-50-100,TFBR40-40-50-101,292.32,150,40,50,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-53-100,TFBR40-40-53-101,375.48,150,40,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-58-150,TFBR40-40-58-151,772.13,150,40,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-63-150,TFBR40-40-63-151,1012.54,150,40,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-75-150,TFBR40-40-75-151,1679.83,150,40,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-78-150,TFBR40-40-78-151,1857.74,150,40,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-88-150,TFBR40-40-88-151,2514.96,150,40,88,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-90-150,TFBR40-40-90-151,2661.12,150,40,90,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-92-150,TFBR40-40-92-151,2807.28,150,40,92,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-93-150,TFBR40-40-93-151,2879.86,150,40,93,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-98-150,TFBR40-40-98-151,3255.34,150,40,98,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-70-150,TFBR40-40-70-151,1388.02,150,40,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-80-150,TFBR40-40-80-151,1982.23,150,40,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-40-95-150,TFBR40-40-95-151,3026.02,150,40,95,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-65-150,TFBR40-42-65-151,1053.86,150,42,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-80-150,TFBR40-42-80-151,1920.24,150,42,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-90-150,TFBR40-42-90-151,2598.12,150,42,90,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-53-100,TFBR40-42-53-101,333.65,150,42,53,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-54-100,TFBR40-42-54-101,354.82,150,42,54,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-55-100,TFBR40-42-55-101,386.57,150,42,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-56-100,TFBR40-42-56-101,417.31,150,42,56,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-58-150,TFBR40-42-58-151,709.13,150,42,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-60-150,TFBR40-42-60-151,803.38,150,42,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-63-150,TFBR40-42-63-151,949.54,150,42,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-70-150,TFBR40-42-70-151,1325.02,150,42,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-72-150,TFBR40-42-72-151,1439.93,150,42,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-75-150,TFBR40-42-75-151,1617.34,150,42,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-78-150,TFBR40-42-78-151,1794.74,150,42,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-88-150,TFBR40-42-88-151,2451.96,150,42,88,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-42-85-150,TFBR40-42-85-151,2243.3,150,42,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-43-55-100,TFBR40-43-55-101,365.4,150,43,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-44-54-100,TFBR40-44-54-101,313.49,150,44,54,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-44-55-100,TFBR40-44-55-101,344.23,150,44,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-72-150,TFBR40-45-72-151,1336.1,150,45,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-70-150,TFBR40-45-70-151,1220.69,150,45,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-65-150,TFBR40-45-65-151,959.62,150,45,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-60-150,TFBR40-45-60-151,709.13,150,45,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-110-150,TFBR40-45-110-151,4080.38,150,45,110,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-95-150,TFBR40-45-95-151,2858.69,150,45,95,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-100-150,TFBR40-45-100-151,3245.26,150,45,100,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-105-150,TFBR40-45-105-151,3651.98,150,45,105,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-120-150,TFBR40-45-120-151,4988.09,150,45,120,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-125-150,TFBR40-45-125-151,5478.48,150,45,125,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-145-150,TFBR40-45-145-151,7617.46,150,45,145,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-55-100,TFBR40-45-55-101,323.57,150,45,55,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-58-100,TFBR40-45-58-101,417.31,150,45,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-63-150,TFBR40-45-63-151,855.29,150,45,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-75-150,TFBR40-45-75-151,1512.5,150,45,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-78-150,TFBR40-45-78-151,1690.42,150,45,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-80-150,TFBR40-45-80-151,1815.91,150,45,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-88-150,TFBR40-45-88-151,2358.72,150,45,88,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-92-150,TFBR40-45-92-151,2639.95,150,45,92,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-93-150,TFBR40-45-93-151,2713.03,150,45,93,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-98-150,TFBR40-45-98-151,3089.02,150,45,98,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-85-150,TFBR40-45-85-151,2149.56,150,45,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-45-90-150,TFBR40-45-90-151,2493.79,150,45,90,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-100-150,TFBR40-48-100-151,3140.93,150,48,100,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-110-150,TFBR40-48-110-151,3975.55,150,48,110,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-120-150,TFBR40-48-120-151,4883.76,150,48,120,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-58-100,TFBR40-48-58-101,344.23,150,48,58,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-60-100,TFBR40-48-60-101,406.73,150,48,60,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-63-100,TFBR40-48-63-101,500.98,150,48,63,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-65-150,TFBR40-48-65-151,845.21,150,48,65,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-70-150,TFBR40-48-70-151,1116.86,150,48,70,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-72-150,TFBR40-48-72-151,1231.27,150,48,72,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-75-150,TFBR40-48-75-151,1409.18,150,48,75,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-78-150,TFBR40-48-78-151,1585.58,150,48,78,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-80-150,TFBR40-48-80-151,1711.58,150,48,80,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-85-150,TFBR40-48-85-151,2045.23,150,48,85,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-88-150,TFBR40-48-88-151,2243.3,150,48,88,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-90-150,TFBR40-48-90-151,2389.46,150,48,90,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-93-150,TFBR40-48-93-151,2608.2,150,48,93,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-48-98-150,TFBR40-48-98-151,2984.69,150,48,98,YANKO,PTFE BRONCE YANKO,PTFE
TFBR40-50-60-100,TFBR40-50-60-101,354.82,150,50,60,YANKO,PTFE BRONCE YANKO,PTFE
